Seed,School,Conference,Record,Wins,Losses,Berth type,Year,Wins-Losses,RPI,Mid-Major
2,Mississippi,SEC,21-10,21,10,At-Large,2010,11,62,N
2,Rhode Island,Atlantic 10,23-9,23,9,At-Large,2010,14,36,N
2,UAB,C-USA,23-8,23,8,At-Large,2010,15,48,Y
3,Dayton,Atlantic 10,20-12,20,12,At-Large,2010,8,52,N
3,South Florida,Big East,20-12,20,12,At-Large,2010,8,69,N
3,Memphis,C-USA,23-9,23,9,At-Large,2010,14,63,Y
3,Wichita State,MVC,25-9,25,9,At-Large,2010,16,43,Y
4,North Carolina,ACC,16-16,16,16,At-Large,2010,0,87,N
4,Connecticut,Big East,17-15,17,15,At-Large,2010,2,57,N
4,Seton Hall,Big East,19-12,19,12,At-Large,2010,7,51,N
4,Kent State,MAC,23-9,23,9,Automatic,2010,14,46,Y
5,Texas Tech,Big 12,17-15,17,15,At-Large,2010,2,74,N
5,Northeastern,CAA,20-12,20,12,At-Large,2010,8,73,Y
5,Tulsa,C-USA,23-11,23,11,At-Large,2010,12,75,Y
5,William & Mary,CAA,22-10,22,10,At-Large,2010,12,53,Y
6,St. John's,Big East,17-15,17,15,At-Large,2010,2,79,N
6,NC State,ACC,19-15,19,15,At-Large,2010,4,91,N
6,Nevada,WAC,20-12,20,12,At-Large,2010,8,71,Y
6,Illinois State,MVC,22-10,22,10,At-Large,2010,12,72,Y
7,Northwestern,Big Ten,20-13,20,13,At-Large,2010,7,112,N
7,Troy,Sun Belt,20-12,20,12,Automatic,2010,8,115,Y
7,Weber State,Big Sky,20-10,20,10,Automatic,2010,10,95,Y
7,Coastal Carolina,Big South,28-6,28,6,Automatic,2010,22,155,Y
8,Jacksonville,Atlantic Sun,19-12,19,12,Automatic,2010,7,146,Y
8,Jackson State,SWAC,19-12,19,12,Automatic,2010,7,194,Y
8,Stony Brook,America East,22-9,22,9,Automatic,2010,13,137,Y
8,Quinnipiac,NEC,23-9,23,9,Automatic,2010,14,141,Y
